W019,None,{'station': 'W019', 'az': 196.639, 'dist': '73.2449', 'pga': 0.778, 'date': '2011-12-03', 'time': '01:30:17'}
W01D,None,{'station': 'W01D', 'az': 150.091, 'dist': '18.8076', 'pga': 2.991, 'date': '2011-12-03', 'time': '01:30:17'}
W01F,None,{'station': 'W01F', 'az': 195.316, 'dist': '87.0134', 'pga': 0.479, 'date': '2011-12-03', 'time': '01:30:17'}
W020,None,{'station': 'W020', 'az': 191.999, 'dist': '73.7057', 'pga': 0.419, 'date': '2011-12-03', 'time': '01:30:17'}
W021,None,{'station': 'W021', 'az': 168.126, 'dist': '31.3959', 'pga': 0.778, 'date': '2011-12-03', 'time': '01:30:17'}
W042,None,{'station': 'W042', 'az': 17.0126, 'dist': '94.9496', 'pga': 0.419, 'date': '2011-12-03', 'time': '01:30:17'}
W059,None,{'station': 'W059', 'az': 219.813, 'dist': '134.235', 'pga': 0.479, 'date': '2011-12-03', 'time': '01:30:17'}
W072,None,{'station': 'W072', 'az': 270.158, 'dist': '49.0364', 'pga': 3.888, 'date': '2011-12-03', 'time': '01:30:17'}
W077,None,{'station': 'W077', 'az': 257.293, 'dist': '79.9034', 'pga': 0.479, 'date': '2011-12-03', 'time': '01:30:17'}
W078,None,{'station': 'W078', 'az': 254.57, 'dist': '55.9826', 'pga': 0.718, 'date': '2011-12-03', 'time': '01:30:17'}
W079,None,{'station': 'W079', 'az': 266.004, 'dist': '59.4925', 'pga': 0.598, 'date': '2011-12-03', 'time': '01:30:17'}
W07E,None,{'station': 'W07E', 'az': 271.172, 'dist': '78.3743', 'pga': 0.479, 'date': '2011-12-03', 'time': '01:30:17'}
W07F,None,{'station': 'W07F', 'az': 268.271, 'dist': '43.5285', 'pga': 2.871, 'date': '2011-12-03', 'time': '01:30:17'}
W083,None,{'station': 'W083', 'az': 303.823, 'dist': '31.2481', 'pga': 6.28, 'date': '2011-12-03', 'time': '01:30:17'}
W084,None,{'station': 'W084', 'az': 265.309, 'dist': '51.6934', 'pga': 0.897, 'date': '2011-12-03', 'time': '01:30:17'}
W087,None,{'station': 'W087', 'az': 238.149, 'dist': '70.247', 'pga': 0.419, 'date': '2011-12-03', 'time': '01:30:17'}
W08A,None,{'station': 'W08A', 'az': 265.514, 'dist': '81.3095', 'pga': 0.419, 'date': '2011-12-03', 'time': '01:30:17'}
W08E,None,{'station': 'W08E', 'az': 260.289, 'dist': '77.6532', 'pga': 0.538, 'date': '2011-12-03', 'time': '01:30:17'}
W095,None,{'station': 'W095', 'az': 263.697, 'dist': '86.266', 'pga': 0.419, 'date': '2011-12-03', 'time': '01:30:17'}
W096,None,{'station': 'W096', 'az': 286.98, 'dist': '62.1751', 'pga': 0.479, 'date': '2011-12-03', 'time': '01:30:17'}
W001,None,{'station': 'W001', 'az': 207.685, 'dist': '154.005', 'pga': 0.598, 'date': '2011-12-04', 'time': '10:13:04'}
W003,None,{'station': 'W003', 'az': 211.265, 'dist': '106.306', 'pga': 2.871, 'date': '2011-12-04', 'time': '10:13:04'}
W008,None,{'station': 'W008', 'az': 210.747, 'dist': '93.7251', 'pga': 1.914, 'date': '2011-12-04', 'time': '10:13:04'}
W00A,None,{'station': 'W00A', 'az': 210.471, 'dist': '116.691', 'pga': 1.196, 'date': '2011-12-04', 'time': '10:13:04'}
